Year;Actual_Yield;Predicted_Yield;Data_Type
2008;13873;14775.624183382384;Train
2009;13930;14295.407433114811;Train
2010;13248;14862.736887407367;Train
2011;16804;16521.058470426055;Train
1961;22479;22512.833761388385;Train
1962;22737;22657.199674739983;Train
1963;21545;22579.54725805209;Train
1964;22534;22412.802366207037;Train
1965;25335;24208.502478760965;Train
1966;24371;24603.333918492994;Train
1967;25113;25156.557990864596;Train
1968;24654;24993.40809522241;Train
1969;25050;23479.32988801055;Train
1970;27636;25303.849945884216;Train
1971;28896;24781.783107474846;Train
1972;27785;24831.479111299304;Train
1973;30303;25186.887907961933;Train
1974;31668;25661.335351650767;Train
1975;23466;23647.42225616078;Train
1976;21572;22320.461192705556;Train
1977;28539;26101.849993625958;Train
1978;34241;28949.164981509148;Train
1979;31867;28381.98244653308;Train
1980;34490;29040.073500315648;Train
1981;32314;29769.286368203993;Train
1982;35807;31290.049821167617;Train
1983;30180;29157.2480822891;Train
1984;37046;32750.27292707368;Train
1985;35859;34074.26604983198;Train
1986;35841;32588.253003539754;Train
1987;37829;34585.81907376189;Train
1988;38074;34907.155656591865;Train
1989;35826;33180.2617744261;Train
1990;36516;36851.20108333333;Train
1991;35407;35066.2301468254;Train
1992;43387;40385.85370015279;Train
1993;41579;40273.384304853644;Train
1994;39996;39655.0753997416;Train
1995;37450;38430.93269050639;Train
1996;40744;40407.087805559226;Train
1997;42966;41323.185945135396;Train
1998;39135;39763.92630472827;Train
1999;40152;40336.50393694328;Train
2000;39976;40014.13115037107;Train
2001;40297;40615.59191560335;Train
2002;44089;42156.641060550995;Train
2003;40814;41397.4265704032;Train
2004;42478;42312.647464598056;Train
2005;43515;42608.243942343266;Train
2006;41589;41596.10888075244;Train
2007;40193;41509.620319684414;Train
2008;41660;42224.872001308526;Train
2009;44417;43161.413671346214;Train
2010;43884;43108.67731632227;Train
2011;43219;42833.17908596967;Train
2012;25054;20073.647542207797;Test
2013;26011;21397.68633333333;Test
2014;25000;21397.68633333333;Test
2015;24257;21617.458499999997;Test
2016;24589;21914.002041666667;Test
2017;25111;21756.432833333332;Test
2018;26171;20830.99343831169;Test
2019;25646;22043.734249999998;Test
2020;26274;20941.08261904762;Test
2021;24943;20893.9179025974;Test
2022;26506;17628.405109826286;Test
2023;27233;17772.40698704074;Test
2012;30549;31299.15267735345;Test
2013;28590;31681.803135595586;Test
2014;35102;31774.433919771214;Test
2015;26339;31499.841162147484;Test
2016;36156;31041.578641762626;Test
2017;28420;30046.23257430918;Test
2018;29374;31401.60068476509;Test
2019;31342;29605.92563974673;Test
2020;36517;28843.22024753307;Test
2021;34118;28887.696967420838;Test
2022;32007;30184.67780126566;Test
2023;28809;31185.709825981754;Test
2012;20813;27167.41334068316;Test
2013;19354;24534.986395246066;Test
2014;20309;21178.508755175135;Test
2015;19150;26260.893453691926;Test
2016;20462;18506.290977244797;Test
2017;23398;19050.894536472944;Test
2018;21523;17707.07852675227;Test
2019;23151;28166.76444099336;Test
2020;20901;27347.152490580902;Test
2021;19502;27640.728142609834;Test
2022;22254;32333.86182804832;Test
2023;21950;39418.11380159298;Test
2012;45423;45735.16122152172;Test
2013;45464;45971.39258353471;Test
2014;54000;41322.3747403359;Test
2015;46923;45548.03429980454;Test
2016;38163;45388.05788025187;Test
2017;47565;45489.97639504264;Test
2018;32631;40217.919796934875;Test
2019;41019;45573.87759345534;Test
2020;40363;41306.31410036477;Test
2021;43055;44966.556031947395;Test
2022;38914;35488.553166827674;Test
2023;42026;34332.30834434393;Test
2012;10152;18307.83056481265;Test
2013;14613;19441.167259336726;Test
2014;13005;21155.387234218546;Test
2015;14963;18129.17786979391;Test
2016;15184;24543.29465724767;Test
2017;17790;25985.350797961935;Test
2018;18560;24019.47076417599;Test
2019;21250;21089.97163052318;Test
2020;19330;23136.504827563236;Test
2021;17949;26153.753923399785;Test
2022;18800;24459.588671812573;Test
2023;16986;26128.17509526711;Test
2012;14785;18350.042995148855;Test
2013;15879;19330.603102472094;Test
2014;15601;24043.24569494949;Test
2015;17038;18531.427713264515;Test
2016;19660;18602.246197871573;Test
2017;15874;17009.381625874274;Test
2018;19661;16839.212661588557;Test
2019;18440;16625.483959207606;Test
2020;18680;18013.993338297376;Test
2021;14543;18227.075965159984;Test
2022;14030;18338.690552735712;Test
2023;17466;19251.972140476195;Test
2012;42132;25761.18327991959;Test
2013;41573;28157.34295617382;Test
2014;43119;23599.068728407834;Test
2015;41413;29490.98995816747;Test
2016;42479;22508.507007756234;Test
2017;43682;30907.991384363828;Test
2018;34746;20820.40324180547;Test
2019;42482;26762.90623310433;Test
2020;43995;37266.13487182424;Test
2021;42253;37864.44204976602;Test
2022;44216;34391.0881605357;Test
2023;45126;33229.401021949125;Test
2012;18218;17033.760621834597;Test
2013;19356;17037.659630076356;Test
2014;18328;17319.693113925838;Test
2015;20207;16706.902415790642;Test
2016;15921;16855.18960668308;Test
2017;16923;16877.162457027185;Test
2018;17746;17313.407361789086;Test
2019;23568;17089.66612964623;Test
2020;26151;16668.693297533897;Test
2021;21309;16392.573760348856;Test
2022;23276;17138.31280623353;Test
2023;24781;17156.88264834975;Test
2012;23652;29649.33500618594;Test
2013;28131;27566.12707052372;Test
2014;27286;26966.77104928711;Test
2015;24297;28610.76400150273;Test
2016;27078;27772.984364672644;Test
2017;28863;27992.863485661946;Test
2018;28051;26325.95569237466;Test
2019;28921;27573.275495985778;Test
2020;30164;27612.325672410218;Test
2021;27486;27865.46494280174;Test
2022;27980;25338.4129537407;Test
2023;30188;29135.263773579463;Test
2012;41377;41232.37222390892;Test
2013;43156;41382.35014759635;Test
2014;47978;26401.115603845716;Test
2015;42505;41599.20340799281;Test
2016;38827;40264.368021527975;Test
2017;44046;40157.87520467815;Test
2018;39389;26183.810503265733;Test
2019;41323;41059.85155471701;Test
2020;40764;27209.143128848496;Test
2021;42475;39990.546007639074;Test
2022;38113;26656.126055571014;Test
2023;42187;27046.905071097146;Test
2012;44757;42385.17122437244;Test
2013;39826;42363.124724372436;Test
2014;47415;43655.85538894534;Test
2015;43812;42960.78016616375;Test
2016;44403;43243.738611353365;Test
2017;46786;40794.353621344824;Test
2018;35372;34543.58718479878;Test
2019;39036;42113.98930731163;Test
2020;42834;41968.72611332506;Test
2021;43794;36222.76555192839;Test
2022;40103;37466.288889705;Test
2023;43851;39332.744099314834;Test
